 surface  401.3                                                                                                                        
      energy   
    3.7294E-02   4.12381E-09 0.0780
    3.7363E-02   3.27741E-09 0.0824
    3.7432E-02   4.35273E-09 0.0755
    3.7501E-02   4.77495E-09 0.0728
    3.7570E-02   3.87667E-09 0.0767
    3.7639E-02   4.38673E-09 0.0767
    3.7708E-02   4.28426E-09 0.0726
    3.7777E-02   4.05106E-09 0.0859
    3.7846E-02   4.43001E-09 0.0746
    3.7915E-02   4.75188E-09 0.0713
    3.7984E-02   4.26744E-09 0.0781
    3.8053E-02   4.79270E-09 0.0753
    3.8122E-02   4.12786E-09 0.0759
    3.8191E-02   4.28346E-09 0.0781
    3.8260E-02   4.58318E-09 0.0774
    3.8329E-02   4.67116E-09 0.0720
    3.8398E-02   3.79902E-09 0.0821
    3.8467E-02   3.64342E-09 0.0770
    3.8536E-02   4.04245E-09 0.0787
    3.8605E-02   3.73901E-09 0.0761
    3.8674E-02   4.87624E-09 0.0685
    3.8743E-02   4.09058E-09 0.0702
    3.8812E-02   4.38012E-09 0.0764
    3.8881E-02   4.13028E-09 0.0815
    3.8950E-02   4.07161E-09 0.0764
    3.9019E-02   3.70572E-09 0.0806
    3.9088E-02   3.90793E-09 0.0782
    3.9157E-02   4.16335E-09 0.0754
    3.9226E-02   4.11597E-09 0.0738
    3.9295E-02   4.35931E-09 0.0766
    3.9364E-02   4.70755E-09 0.0788
    3.9433E-02   3.82825E-09 0.0773
    3.9502E-02   4.07753E-09 0.0742
    3.9571E-02   3.90633E-09 0.0780
    3.9640E-02   3.97277E-09 0.0793
    3.9709E-02   3.75603E-09 0.0801
    3.9778E-02   3.69697E-09 0.0762
    3.9847E-02   3.87995E-09 0.0822
    3.9916E-02   4.12495E-09 0.0773
    3.9985E-02   3.83170E-09 0.0767
    4.0054E-02   4.66560E-09 0.0763
    4.0123E-02   3.44555E-09 0.0767
    4.0192E-02   4.02591E-09 0.0767
    4.0261E-02   3.98974E-09 0.0728
    4.0330E-02   3.90894E-09 0.0779
    4.0399E-02   4.09526E-09 0.0738
    4.0468E-02   4.36413E-09 0.0728
    4.0537E-02   3.52192E-09 0.0829
    4.0606E-02   4.23882E-09 0.0740
    4.0675E-02   4.48134E-09 0.0716
    4.0744E-02   4.34956E-09 0.0712
    4.0813E-02   3.41461E-09 0.0820
    4.0882E-02   3.90463E-09 0.0799
    4.0951E-02   4.54102E-09 0.0762
    4.1020E-02   3.86835E-09 0.0760
    4.1089E-02   3.47587E-09 0.0759
    4.1158E-02   3.77166E-09 0.0750
    4.1227E-02   3.83314E-09 0.0743
    4.1296E-02   4.00571E-09 0.0745
    4.1365E-02   4.13491E-09 0.0769
    4.1434E-02   4.00397E-09 0.0785
    4.1503E-02   4.26891E-09 0.0775
    4.1572E-02   3.79910E-09 0.0746
    4.1641E-02   3.96780E-09 0.0790
    4.1710E-02   3.53701E-09 0.0752
    4.1779E-02   4.26849E-09 0.0772
    4.1848E-02   3.83567E-09 0.0805
    4.1917E-02   3.70159E-09 0.0845
    4.1986E-02   3.29042E-09 0.0809
    4.2055E-02   4.23113E-09 0.0759
    4.2124E-02   3.64527E-09 0.0740
    4.2193E-02   3.55676E-09 0.0773
    4.2262E-02   3.98899E-09 0.0767
    4.2331E-02   4.14270E-09 0.0768
    4.2400E-02   3.64187E-09 0.0740
    4.2469E-02   3.68337E-09 0.0803
    4.2538E-02   3.70391E-09 0.0905
    4.2607E-02   4.11907E-09 0.0751
    4.2676E-02   4.07556E-09 0.0736
    4.2745E-02   3.45095E-09 0.0759
    4.2814E-02   3.57965E-09 0.0744
    4.2883E-02   3.74932E-09 0.0796
    4.2952E-02   3.47916E-09 0.0809
    4.3021E-02   3.92676E-09 0.0811
    4.3090E-02   4.02577E-09 0.0760
    4.3159E-02   3.59534E-09 0.0860
    4.3228E-02   3.81751E-09 0.0903
    4.3297E-02   4.13565E-09 0.0785
    4.3366E-02   3.59571E-09 0.0766
    4.3435E-02   3.54039E-09 0.0798
    4.3504E-02   3.62020E-09 0.0764
    4.3573E-02   3.42813E-09 0.0839
